Code,Description
652,DOCUMENT WORTHLESS ($200 & UNDER)
113,MANSLAUGHTER, NEGLIGENT
452,PICKPOCKET, ATTEMPT
349,GRAND THEFT / AUTO REPAIR
822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
760,LEWD/LASCIVIOUS ACTS WITH CHILD
845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
485,BIKE - ATTEMPTED STOLEN
884,FAILURE TO DISPERSE
931,REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)
921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
814,CHILD PORNOGRAPHY
952,ABORTION/ILLEGAL
830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
445,DISHONEST EMPLOYEE ATTEMPTED THEFT
926,TRAIN WRECKING
432,BLOCKING DOOR INDUCTION CENTER
906,FIREARMS RESTRAINING ORDER (FIREARMS RO)
522,VEHICLE - MOTORIZED SCOOTERS, BICYCLES, AND WHEELCHAIRS
905,FIREARMS TEMPORARY RESTRAINING ORDER (TEMP FIREARMS RO)
904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
